,y,x,street_count,highway,ref
3821603395,51.4397942,-2.6238602,4,crossing,
3821603398,51.4404626,-2.6246194,3,,
3821603401,51.4407669,-2.6249108,3,,
3821603403,51.4409971,-2.624932,3,,
3841736214,51.4543041,-2.6016721,1,,
3841736215,51.454316,-2.6014924,3,,
3842753611,51.4588726,-2.5847497,3,,
3860745715,51.4595154,-2.583894,3,,
3860745716,51.4594684,-2.5836889,3,,
3860745718,51.459599,-2.5841724,3,,
3860745719,51.4598077,-2.5840236,3,,
3860786634,51.4605197,-2.5824324,3,,
3860810901,51.4579196,-2.5840639,4,,
3860890364,51.4594232,-2.5849869,3,,
3860890365,51.4593896,-2.5851025,4,crossing,
3860890366,51.4594589,-2.5851507,3,,
3860890367,51.4595192,-2.5870399,3,,
3860890371,51.4592277,-2.5869765,3,,
3860908591,51.459523,-2.5880821,4,crossing,
3860908593,51.4594872,-2.589147,4,,
3860908599,51.4595842,-2.5897536,3,,
3860964491,51.462178,-2.5901855,4,traffic_signals,
3880557464,51.465902,-2.5905664,3,traffic_signals,
3893231913,51.456493,-2.5798466,4,traffic_signals,
3912898839,51.4538433,-2.591693,4,traffic_signals,
3915239541,51.4488483,-2.6070788,3,,
3922687874,51.4249576,-2.621531,3,,
3922687876,51.4253002,-2.6207993,3,,
3925660177,51.4655772,-2.5655607,3,,
3925660179,51.4655402,-2.5659555,1,,
3926146352,51.4561215,-2.5903515,3,,
3926146353,51.4564295,-2.5853243,4,,
3954415121,51.4080198,-2.5576763,3,,
3954415124,51.4080311,-2.5583456,1,,
3954415137,51.4080819,-2.5572937,1,,
3954416354,51.4077521,-2.5586005,3,,
3954416779,51.4081948,-2.5586405,3,,
3958813808,51.4692354,-2.614219,3,,
3959679825,51.4392811,-2.5661131,3,,
3962548469,51.4562858,-2.5806249,3,,
3969430354,51.4480152,-2.5774645,1,,
3969498123,51.4447934,-2.5686621,4,,
3969498126,51.445016,-2.5680148,1,,
3969520627,51.4483006,-2.5773096,3,,
3969770427,51.4561261,-2.5818241,3,,
3969770430,51.4563596,-2.580758,3,,
3969770432,51.4565639,-2.5800343,3,,
3976516546,51.4670279,-2.5557598,3,,
3980721920,51.4641195,-2.5820606,3,,
3980721930,51.4642475,-2.582056,4,,
3980721932,51.4643025,-2.5820544,4,,
3980721933,51.4642997,-2.5823035,4,,
3980721934,51.4642952,-2.5827028,3,,
3980721935,51.4643058,-2.5817541,3,,
3980721946,51.4643852,-2.5637438,1,,
3980721951,51.4643035,-2.5819609,4,,
3980721952,51.4644401,-2.5634474,3,,
3980721955,51.4644538,-2.5820873,4,,
3986608149,51.4605515,-2.5731156,1,,
4001410136,51.4480586,-2.5951358,1,,
4001410137,51.4480997,-2.5963227,1,,
4001410138,51.4481164,-2.5957031,1,,
4001410146,51.4482688,-2.5951269,3,,
4001410147,51.4482839,-2.5956973,3,,
4001410148,51.4483003,-2.5963172,3,,
4001509229,51.4637138,-2.60934,3,,
4032728624,51.4596579,-2.6079172,1,,
4032728626,51.4598568,-2.6079505,3,,
4032728630,51.4595446,-2.6078772,1,,
4032728634,51.4595355,-2.6087322,3,,
4032728650,51.4593834,-2.6080584,1,,
4032728652,51.4593336,-2.6087628,3,,
4033937214,51.4648041,-2.573371,3,,
4033937403,51.4675551,-2.5875457,3,,
4035610260,51.4627171,-2.5575573,3,,
4035610262,51.462736,-2.5571088,1,,
4035610275,51.4629298,-2.5575365,3,,
4035610276,51.4629474,-2.5571356,1,,
4035611896,51.4633481,-2.5568618,3,,
4035611898,51.4633625,-2.5561628,3,,
4035612057,51.4677596,-2.5667658,1,,
4035750420,51.4619455,-2.5542488,3,,
4035750430,51.4620314,-2.5540708,3,,
4035750477,51.4635091,-2.5500239,2,,
4035750572,51.4670612,-2.5501187,3,,
4035750578,51.4692767,-2.5486633,1,,
4035750584,51.4694184,-2.5483755,3,,
4046868400,51.4366289,-2.5894248,1,,
4046868498,51.448225,-2.5906287,4,,
4049215110,51.4228631,-2.5959829,3,,
4049215111,51.4231171,-2.5998135,1,,
4049215115,51.4247704,-2.5942728,1,,
4049215116,51.4250125,-2.5933674,3,,
4049215119,51.4250989,-2.5932699,3,,
4049215143,51.4253387,-2.5923642,1,,
4049215181,51.425426,-2.5940804,1,,
4049217690,51.4254909,-2.5990928,3,,
4049217692,51.4254947,-2.59775,3,,
4049217708,51.4255889,-2.5976646,3,,
4049217709,51.425581,-2.5994976,3,,
4049217719,51.4256322,-2.5981317,3,,
4049217740,51.4257128,-2.5983554,3,,
4049217760,51.4257999,-2.598597,1,,
4049217796,51.4259365,-2.5978589,3,,
4049217800,51.4259537,-2.5929717,3,,
4049217816,51.4260579,-2.5921916,1,,
4049217820,51.4260817,-2.5990865,3,,
4049217822,51.4260927,-2.5990985,1,,
4049217826,51.4262377,-2.5918059,3,,
4049217842,51.4275296,-2.5881572,3,,
4049217844,51.4276028,-2.5862924,1,,
4049217856,51.4279408,-2.5957782,4,crossing,
4049217861,51.4279684,-2.5956667,3,,
4049217865,51.4279981,-2.5960334,3,,
4049217876,51.4280764,-2.5863801,4,,
4049217884,51.4281789,-2.5952638,4,,
4049217886,51.4281958,-2.5965377,3,,
4049217893,51.4284197,-2.5864617,3,,
4049217895,51.428483,-2.5948776,3,,
4049217901,51.4285286,-2.5949121,1,,
4049217907,51.4286133,-2.5946309,3,,
4049217920,51.4286654,-2.5951458,3,,
4049217921,51.4286649,-2.5946926,1,,
4049217938,51.4289342,-2.5957953,3,,
4049217966,51.4304405,-2.6007718,3,,
4049217967,51.4306682,-2.6004233,1,,
4049218136,51.43126,-2.6051499,3,,
4049218152,51.4316697,-2.6056855,3,,
4049218159,51.4318613,-2.605129,1,,
4049218299,51.433559,-2.6033077,3,,
4049218318,51.433797,-2.6039617,3,,
4049300873,51.4186407,-2.6149131,1,,
4049302423,51.4189476,-2.614669,3,,
4049302437,51.4191007,-2.6138252,3,,
4049302442,51.4193337,-2.6140034,3,,
4049302446,51.4199159,-2.5985932,3,,
4049302472,51.4203861,-2.5960709,3,,
