,y,x,street_count,highway,ref
2454085648,48.3988957,9.9928448,3,,
2477105346,48.397121,9.9965217,3,,
2477105347,48.3971345,9.9965847,3,,
2477105348,48.3971477,9.9966461,3,,
2477105349,48.3971489,9.9964254,3,,
2477105353,48.3971599,9.9965724,3,,
2477105354,48.3971611,9.9964787,4,,
2477105355,48.397166,9.9965001,4,,
2477105357,48.3971732,9.9965316,3,,
2477105358,48.3971864,9.9965942,3,,
2477105360,48.3971929,9.9966244,4,,
2477105361,48.3971978,9.9965534,3,,
2477105362,48.3971991,9.9966533,3,,
2477105364,48.3972097,9.9964792,3,,
2477105365,48.3972228,9.9965408,3,,
2477105367,48.397236,9.9966037,3,,
2477105368,48.3972441,9.9965332,3,,
2477105369,48.3972487,9.9964362,3,,
2477105371,48.3972675,9.9965213,3,,
2477105373,48.3972871,9.9966105,3,,
2477105374,48.3973174,9.9965958,3,,
2477105376,48.3973539,9.9967551,3,,
2480014862,48.3974519,9.9888865,1,,
2493884608,48.3974613,9.9956348,3,,
2493884609,48.3972204,9.9957047,4,,
2493884610,48.3973449,9.9956695,4,,
2493890073,48.3973893,9.9962015,3,,
2493890083,48.3975066,9.996196,3,,
2495235394,48.3992796,9.989812,3,,
2495235400,48.4012972,9.9911698,3,,
2495235418,48.3991935,9.9898196,4,,
2495235422,48.3988305,9.9887824,2,,
2495235429,48.3995965,9.9909414,2,,
2495235433,48.3988964,9.9882178,3,,
2495235437,48.3993883,9.9908924,2,,
2495235441,48.3994069,9.9910893,3,,
2495235445,48.3995101,9.9910816,3,,
2495235450,48.3975626,9.9937175,4,,
2495235454,48.3994734,9.989799,3,,
2495235476,48.399569,9.9886927,4,,
2495235479,48.3996478,9.9923335,4,,
2495235483,48.3995888,9.9910681,3,,
2495235486,48.3997741,9.9910482,3,,
2495235489,48.3997758,9.9872768,3,,
2495235495,48.3992731,9.9870041,3,,
2495235496,48.3993256,9.9894919,3,,
2495235498,48.3996026,9.9915785,4,,
2495235499,48.399407,9.9891768,4,,
2495235517,48.399273,9.9869504,4,crossing,
2495235523,48.3992977,9.990376,3,,
2495235525,48.3998945,9.9910276,3,,
2495235527,48.3982201,9.9937074,3,,
2495246836,48.3971808,9.9901539,4,,
