,y,x,street_count,highway,ref
9761709110,-37.8014365,144.9741291,3,,
9765710382,-37.8087032,144.9576205,3,,
9765710388,-37.8094224,144.9591854,3,,
9765710390,-37.8091579,144.9587079,1,,
9765710391,-37.8132691,144.9612966,1,,
9765710405,-37.8149169,144.9571906,3,,
9765710406,-37.8157308,144.9575783,3,,
9765780326,-37.8171442,144.9569649,3,,
9765780327,-37.8171917,144.956986,4,,
9765780328,-37.8173475,144.9570575,1,,
9765780330,-37.8142022,144.9560735,3,,
9765780331,-37.8141245,144.9560382,4,crossing,
9765780332,-37.8140286,144.9559949,4,crossing,
9765780333,-37.8139742,144.9559674,3,,
9765780336,-37.8147241,144.953576,3,,
9765780337,-37.8148165,144.9536207,3,,
9765780350,-37.8182542,144.9533176,3,,
9765780356,-37.8186457,144.9623041,3,,
9765780357,-37.8186009,144.9624567,3,,
9766383328,-37.7988221,144.9300806,3,,
9766383337,-37.7994445,144.9298679,3,,
9768324346,-37.8042405,144.9780622,4,,
9768324347,-37.804336,144.9781142,3,,
9768324349,-37.8042885,144.9777006,3,,
9768324350,-37.8051832,144.9788955,1,,
9768324352,-37.8052618,144.9786751,4,,
9768324357,-37.8050267,144.978384,3,,
9768324358,-37.8049768,144.9785132,3,,
9768324364,-37.8054638,144.9789574,1,,
9768324370,-37.8053785,144.9788582,3,,
9768324371,-37.8054517,144.978592,3,,
9768324372,-37.8054442,144.9786392,3,,
9768324373,-37.805397,144.9786494,3,,
9768324376,-37.8054044,144.9787591,3,,
9768324378,-37.8055092,144.9785925,3,,
9768324380,-37.8055708,144.9789322,3,,
9768324381,-37.8055658,144.9789486,1,,
9768324383,-37.8056289,144.9788381,3,,
9768324386,-37.8045132,144.9791053,1,,
9768324387,-37.8044553,144.9786007,3,,
9768324388,-37.8040833,144.9791103,3,,
9768333843,-37.805508,144.977981,3,,
9768333847,-37.8053958,144.9781152,1,,
9768877752,-37.8074789,144.9756536,3,,
9768877753,-37.8075686,144.976482,1,,
9768877754,-37.8076601,144.9764675,3,,
9768877851,-37.8262514,144.9841495,1,,
9768877856,-37.826179,144.9852159,3,,
9768877860,-37.8261169,144.9851173,1,,
9768878008,-37.8243713,144.9857233,3,,
9768878010,-37.8243958,144.9855506,3,,
9768878014,-37.82414,144.9805322,3,,
9768878266,-37.7954732,144.9526048,4,crossing,
9806115770,-37.8094749,144.9359541,3,crossing,
9808464458,-37.8258486,144.9609141,3,,
9808464459,-37.8259521,144.9607672,3,,
9808464466,-37.825665,144.9606573,3,,
9827055670,-37.7934342,144.9306877,4,,
9827055672,-37.7933593,144.9305843,3,,
